Plant Common Name ,Disease Name (Type),Treatment Methods (Human-Friendly Guide)
Spinach (Palak),Downy Mildew (Fungal),"Yellow irregular spots on top; purplish-grey ""fuzz"" underneath. Spray Metalaxyl + Mancozeb (2g/liter). Avoid evening watering; leaves must be dry at night. Use wider spacing for air circulation."
Spinach (Palak),Cercospora Leaf Spot (Fungal),Small circular spots with white/grey centers and dark reddish borders. Spray Carbendazim (1g/liter) or Mancozeb (2g/liter). Removing older bottom leaves stops the fungus from jumping to new growth.
Spinach (Palak),Anthracnose (Fungal),"Small water-soaked spots that turn brown and thin like paper. Spray Copper Oxychloride (3g/liter). Ensure good drainage to prevent soil splashing onto leaves. Use healthy, disease-free seeds."
Spinach (Palak),Damping Off (Fungal),Young seedlings rot at the base and fall over. Treat seeds with Trichoderma viride (4g/kg) before sowing. Drench soil with Copper Oxychloride (2g/liter) if rot appears. Use raised beds.
Spinach (Palak),Fusarium Wilt (Fungal),Leaves turn yellow; the whole plant wilts. Roots look dark or rotted. Soil-borne. Drench with Carbendazim (2g/liter). Best fix: mix Trichoderma into compost before planting. Rotate crops every 2-3 years.
Spinach (Palak),Mosaic Virus (Viral),"Patchy green/yellow ""mosaic"" patterns; wrinkled leaves. Spread by Aphids. No cure. Control aphids with yellow sticky traps and Neem oil (5ml/liter). Pull out and bury infected plants immediately."
Spinach (Palak),White Rust (Fungal),"White ""chalky"" blisters on the leaf underside. Spray Metalaxyl (2g/liter). If seen, harvest healthy leaves immediately and destroy infected ones. Avoid overhead sprinklers."
Spinach (Palak),Stemphylium Leaf Spot (Fungal),"Grey-to-tan circular spots that make leaves look ""burnt."" Spray Propiconazole (1ml/liter). Often confused with heat stress. Ensure plants have enough Potassium to strengthen leaf edges."
Spinach (Palak),Bacterial Leaf Spot (Bacterial),"Small, water-soaked greasy spots that turn brown. Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (2g/liter). Avoid high-pressure sprays that wound the leaf skin."
Spinach (Palak),Cladosporium Leaf Spot* (Fungal),"Small, round, dark green ""fuzzy"" spots on both sides of the leaf. Spray Mancozeb (2.5g/liter). Happens in cool, wet conditions. Never harvest when plants are wet."
Spinach (Palak),Pythium Root Rot* (Fungal/Oomycete),"Roots turn black and ""slimy,"" and the plant stays stunted. Drench soil with Metalaxyl (2g/liter). This loves waterlogged soil. Improve drainage and avoid over-irrigating during the monsoon."
Spinach (Palak),Phyllosticta Leaf Spot* (Fungal),Small brown spots that develop tiny black dots in the center. Spray Copper Oxychloride (3g/liter). Clean up all crop residue after harvest as the fungus hides in dead leaves.
Spinach (Palak),Damp-weather Blight* (Fungal),"Large, dark, mushy patches on leaves during very heavy rain. Spray Mancozeb. Best managed by using a temporary plastic rain shelter over the crop during peak monsoon."
Spinach (Palak),Verticillium Wilt* (Fungal),One side of the leaf or plant turns yellow and wilts. Soil-borne. There is no chemical cure. Avoid planting in soil where potatoes or tomatoes were recently grown. Use Trichoderma at the time of sowing.
Spinach (Palak),Tip Burn* (Physiological),The edges of the leaves turn brown and dry. This is a Calcium deficiency caused by high heat or irregular watering. Maintain steady moisture and spray a Calcium-based micronutrient if needed.
Spinach (Palak),Iron Chlorosis* (Nutritional),"New leaves are bright yellow, but the veins stay dark green. Spray Ferrous Sulfate (2g/liter). Common in alkaline (high pH) soils. Adding organic manure helps lower the pH and release Iron to the plant."
Snake Gourd (Padaval),Downy Mildew (Fungal),"Yellow angular patches on top; purple-grey ""fuzz"" underneath. Spray Metalaxyl + Mancozeb (2g/liter). Using a Trellis (Pandal) is essential. Avoid watering in the late evening so leaves don't stay wet overnight."
Snake Gourd (Padaval),Mosaic Virus (Viral),Green/yellow mottling and wrinkled leaves; twisted fruits. Spread by Aphids. No cure. Control aphids with yellow sticky traps and Neem oil (5ml/liter). Pull out and bury infected vines immediately.
Snake Gourd (Padaval),Powdery Mildew (Fungal),White flour-like patches on leaves. Spray Hexaconazole (2ml/liter) or wettable Sulfur (3g/liter). Ensure the vine is not overcrowded; air must flow through the leaves to prevent this fungus from settling.
Snake Gourd (Padaval),Gummy Stem Blight (Fungal),"Water-soaked spots on stems that ooze reddish-brown ""gum."" Spray Thiophanate Methyl (1g/liter). Avoid wounding stems during weeding. Clean up old crop debris after harvest to kill hiding spores."
Snake Gourd (Padaval),Anthracnose (Fungal),Sunken black spots on fruit and leaves. Spray Carbendazim (1g/liter). Treat seeds with Thiram (3g/kg) before sowing. Avoid touching vines when they are wet with rain or dew.
Snake Gourd (Padaval),Bacterial Wilt (Bacterial),"Vine wilts suddenly; ""milky thread"" oozes from cut stems in water. No cure. Control Cucumber Beetles using Neem-based insecticides. Rotate with non-gourd crops like Corn or Millet."
Snake Gourd (Padaval),Fruit Rot (Phytophthora) (Fungal/Oomycete),Tips of long gourds turn soft and rot. Spray Metalaxyl (2g/liter). Ensure the Pandal is 6-7 feet high so gourds hang freely. Remove and bury rotted fruits far from the field.
Snake Gourd (Padaval),Cercospora Leaf Spot (Fungal),"Small circular spots with grey centers and purple borders. Spray Mancozeb (2g/liter). Pruning older, lower leaves improves sunlight penetration and reduces moisture."
Snake Gourd (Padaval),Fusarium Wilt (Fungal),Leaves yellow from base; plant wilts in the heat. Soil-borne. Drench base with Carbendazim (2g/liter). Mix Trichoderma viride into manure at planting time.
Snake Gourd (Padaval),Root Knot Nematode (Parasitic),"Weak/yellow vines; roots have ""knots."" Apply Neem Cake (250kg/acre) during land preparation. Planting Marigolds at the base of the trellis helps kill these worms."
Snake Gourd (Padaval),Choanephora Fruit Rot* (Fungal),"Flowers and young fruits covered in ""black-headed whiskers."" Spray Copper Oxychloride (3g/liter). Common in heavy rain. Removing dead flowers from the tips of young fruits can stop the rot."
Snake Gourd (Padaval),Macrophomina Root Rot / Charcoal Rot* (Fungal),"The lower stem turns dark brown or black and the plant wilts. Tiny black dots appear under the bark. Drench with Carbendazim. This loves hot, dry soil followed by heavy rain. Use mulch to keep soil temperature steady."
Snake Gourd (Padaval),Zucchini Yellow Mosaic Virus (ZYMV)* (Viral),"Causes severe ""bumpy"" distorted fruit and extreme yellowing. Spread by Aphids. No cure. This is more aggressive than common mosaic. Maintain strict aphid control from day one of planting."
Snake Gourd (Padaval),Collar Rot* (Fungal),"The vine rots right at the soil level, often showing white ""silk-like"" fungal threads. Drench with Copper Oxychloride (3g/liter). Avoid mounding wet soil directly against the main stem."
Snake Gourd (Padaval),Blossom End Rot* (Physiological),The tip of the fruit turns black and leathery (without mushy rot). This is a Calcium deficiency caused by irregular watering. Ensure steady moisture and spray Calcium Nitrate (5g/liter) during fruit formation.
Snake Gourd (Padaval),Fruit Cracking* (Physiological),Long gourds split open on the sides. Usually caused by heavy rain or sudden heavy irrigation after a dry spell. Maintain consistent soil moisture. Avoid heavy Nitrogen doses during the peak fruiting stage.
Bottle Gourd,Cucumber Green Mottle Mosaic (CGMMV) (Viral),"Unlike common mosaic, this causes ""mottled"" green patches and can be carried inside the seed. Plants look healthy at first but suddenly produce small, tasteless fruit with dark green ""splotches."" Treatment: No cure. Pull out plants immediately. Prevention: Only buy certified ""Virus-Free"" seeds. Soak seeds in a 10% solution of Tri-sodium Phosphate (TSP) for 20 minutes if you suspect seed contamination."
Bottle Gourd,Chlorotic Curly Stunt (CCSD) (Viral),"Mostly seen in Northern India (Delhi/Haryana). Plants are severely stunted with very small, curly, yellow leaves. Spread by Whiteflies. Treatment: No cure. Control whiteflies with yellow sticky traps and Acetamiprid (0.2g/liter). Removing the weeds around the field is vital, as this virus hides in wild grasses during the off-season."
Bottle Gourd,Southern Blight / Sclerotium Rot (Fungal),"A thick, white, ""fan-shaped"" mold grows on the soil and stem base. You will see small, round, brown balls (like mustard seeds) in the mold. Treatment: Drench the soil with Hexaconazole (2ml/liter) or Tebuconazole. This fungus stays in the soil for years. Rotate with non-susceptible crops like Rice or Wheat. Solarize your soil in summer with plastic sheets to kill the ""seeds."""
Bottle Gourd,Phytophthora Blight (Fungal),"The whole vine develops large, dark, ""greasy"" water-soaked patches and collapses overnight during heavy monsoons. Treatment: Spray Metalaxyl + Mancozeb (2g/liter) or Cymoxanil (2g/liter). This is a ""water mold."" Ensure your raised beds are at least 1 foot high and that water never touches the main stem ""collar"" of the plant."
Bottle Gourd,Nitrogen Deficiency (Nutritional),"Old leaves turn light green or yellow, starting from the tips. The whole plant looks ""pale."" Treatment: Apply Urea or Ammonium Nitrate to the soil. For a quick fix, use a foliar spray of 1% Urea (10g in 1L water). This is often mistaken for a virus; if the veins stay green, it is usually a nutrient issue, not a germ."
Bottle Gourd,Boron Deficiency (Nutritional),"Fruits become crooked, deformed, and the skin looks ""corky"" or cracked. The growing tips of the vine may also die back. Treatment: Spray Borax (2g/liter) or Solubor once during the start of flowering. This is very common in sandy soils or after heavy rain that washes nutrients away."
Bottle Gourd,Blossom End Rot (Physiological),"The bottom of the gourd (where the flower was) turns black, dry, and leathery. Treatment: This is caused by Calcium deficiency linked to irregular watering. Maintain a steady water schedule (don't let the soil go from bone-dry to flooded). Spray Calcium Nitrate (5g/liter) on the young fruits."
Bottle Gourd,Phomopsis Blight* (Fungal),"Small circular grey spots on leaves and soft, light-brown sunken rot on the fruit. Treatment: Spray Carbendazim (1g/liter). This is very similar to Anthracnose but has tiny black dots in the center of the spots. Avoid overhead sprinklers; use drip irrigation to keep the fruit and leaves dry."
Sponge Gourd,Yellow Vein Mosaic (Viral),"Similar to Okra, the veins turn bright yellow while the rest of the leaf remains green. Spread by Whiteflies. Treatment: No cure. Pull out infected plants. Prevention: Install yellow sticky traps (15/acre) and spray Neem Oil (5ml/liter) or Acetamiprid early in the morning to kill whiteflies."
Sponge Gourd,Sclerotium Stem Rot (Fungal),"A thick white mold grows around the base of the stem at the soil line. You will see small, round, brown structures (sclerotia) that look like mustard seeds. Treatment: Drench the base with Hexaconazole (2ml/liter). This fungus loves high humidity and heavy manure. Ensure the soil around the stem is well-aerated."
Sponge Gourd,Witches' Broom (Phytoplasma),"The plant produces many tiny, crowded leaves instead of normal vines, looking like a ""broom."" Spread by Leafhoppers. Treatment: No cure. Pull out and destroy the plant. Prevention: Control leafhoppers using Dimethoate (2ml/liter). Keeping the field free of wild weeds like Parthenium (Congress grass) is vital as they harbor the phytoplasma."
Sponge Gourd,Black Rot (Fungal),"The stem turns black and mushy, especially near the joints (nodes). This usually happens during the height of the rainy season. Treatment: Spray Carbendazim + Mancozeb (2g/liter). Avoid over-application of Urea, which makes the stems soft and juicy, attracting this fungus."
Sponge Gourd,Sooty Mold (Fungal),"A black, powdery layer covers the leaves. This is not a direct disease but a fungus growing on the sticky ""honeydew"" left by Aphids or Mealybugs. Treatment: Kill the insects first. Once the insects are gone, the mold will dry up and wash off with water. The mold hurts the plant by blocking sunlight."
Sponge Gourd,Macrophomina Root Rot (Fungal),"The roots and lower stem turn dark brown, and the bark can be easily peeled off to reveal tiny black specks. The plant wilts suddenly. Treatment: Drench the soil with Carbendazim (2g/liter). This disease thrives in ""heat stress""—when the soil is very hot and dry, then suddenly becomes wet. Mulching helps keep soil temperatures steady."
Sponge Gourd,Blossom Drop (Physiological),"The flowers turn yellow and fall off before fruit can form. Treatment: This is often caused by a lack of Micronutrients or very high temperatures. Spray a Micronutrient Mix (2g/liter) containing Boron and Zinc. Also, ensure there are enough bees in the field for pollination; avoid spraying pesticides during the daytime when bees are active."
Sponge Gourd,Fruit Bitterness (Physiological/Environmental),"The sponge gourd develops a very bitter taste. Treatment: This is caused by high levels of ""Cucurbitacins,"" triggered by drought stress or sudden high heat. Maintain a consistent watering schedule and ensure the soil is rich in organic matter to buffer the plant against heat."
