Vegetable Common Name ,Disease Name (Type),Treatment Methods
Beans,Bean Rust (Fungal),"Reddish-brown, powdery pustules form on the pods, making them look dirty and unappealing. Treatment: Avoid wetting the pods when watering. Prune the plant to allow sunlight to hit the pods (sunlight kills the spores). Dusting with sulphur powder is a common organic remedy. Remove severely infected plant parts to save the rest of the crop."
Beans,White Mold (Fungal),"A white, cottony growth appears on the pods, especially near the soil or where pods touch each other. The pod eventually turns into a soft, watery mush. Treatment: Space plants widely to ensure the soil surface dries out. Mulch with straw to keep pods off the damp soil. Remove any rotting pods immediately. Avoid over-fertilizing with nitrogen, which creates dense, humid canopies that mold loves."
Beans,Bean Mosaic Virus (Viral),"The pods become mottled (light and dark green patches), shiny, and malformed/bumpy. They are tough and fibrous to eat. Treatment: There is no cure for the virus. Remove and destroy the infected plant immediately. The virus is spread by aphids, so control them using yellow sticky traps or insecticidal soap sprays. Plant virus-resistant varieties like ""Arka Komal"" (for French beans)."
Beetroot,Heart Rot (Physiological),"This is caused by a Boron deficiency, not a germ. The internal flesh develops hard, black, corky spots, and the center may rot. Dissolve 1 teaspoon of Borax powder in 5 liters of water and water the soil to replenish Boron. Ensure regular watering, as dry soil prevents the roots from absorbing nutrients. Add plenty of compost before the next planting season to balance the soil."
Beetroot,Scab (Bacterial),"Similar to potatoes, corky spots appear on the root surface. Keep the soil moisture consistent; do not let it dry out during root development. Avoid using fresh manure, which can harbor the bacteria. Lower soil pH slightly if possible, as scab thrives in alkaline soil. Rotate crops and avoid planting beets in the same spot for three years."
Beetroot,Common Scab (Bacterial),"Rough, raised, corky patches appear on the beet skin. It doesn't affect the taste much but ruins the texture and storage life. Treatment: Scab bacteria thrive in dry, alkaline soil. Keep the soil consistently moist, especially during the first 6 weeks of growth. Avoid using fresh manure or wood ash (which raises pH) immediately before planting. Rotate crops; do not plant beets where potatoes grew recently."
Beetroot,Root Knot Nematode (Parasitic Worm),"The main root becomes stunted, deformed, and covered in small bumps (galls) or excessive hairy side roots. Treatment: Plant marigolds densely in the bed one season before planting beets, as their roots release chemicals that repel nematodes. Add neem cake to the soil to encourage beneficial microbes. Practice a 3-year crop rotation. Solarize the soil in summer (cover moist soil with clear plastic) if the infestation is heavy."
Beetroot,Root Rot / Black Leg (Fungal),"The root turns black and mushy, often starting at the ""shoulder"" (top) or the tip. This usually happens in wet, heavy clay soils. Treatment: Improve soil drainage; do not plant in waterlogged areas. Use raised beds to keep the soil drier. Thin the seedlings early so they aren't crowded. Remove and destroy infected plants immediately. A copper-based fungicide drench can help if applied early."
Beetroot,Cutworms (Insect Larvae),"These caterpillars hide in the soil during the day and eat the top of the root or chew through the stem at night. Treatment: Dig around the base of the damaged plant to find and kill the greyish caterpillar. Place a ""collar"" (a paper cup with the bottom cut out) around young seedlings to protect the stem. Crushed eggshells sprinkled around the plant base can deter them."
Beetroot,Cercospora Leaf Spot (Fungal Infection),"Round spots with reddish margins on leaves. Loss of leaves results in small, woody roots. Thin plants to improve airflow. Apply copper fungicide or Neem oil. Rotate crops every 3 years."
Beetroot,Beet Scab (Bacterial Infection),"Rough, corky, brown spots on the root surface. Do not use fresh manure; use well-rotted compost. Keep soil moisture consistent. Acidic soil reduces scab (avoid over-liming)."
Beetroot,Root Rot (Fungal Infection),"Roots turn black and rot from the tip or crown, often in wet soil. Ensure excellent drainage. Do not plant too deep. hill up soil around the base. Remove infected plants to save neighbors."
Beetroot,Heart Rot (Boron Deficiency),Not a disease but a deficiency. The internal flesh turns black and necrotic; the growing tip dies. Apply Borax to the soil before planting. Ensure regular watering to help nutrient absorption.
Beetroot,Leaf Miner (Insect Infestation),"Larvae tunnel inside the edible leaves, creating blisters. Remove infested leaves (Swiss chard/beet greens). Cover rows with floating row covers (mesh) to stop flies laying eggs."
Beetroot,Cutworms (Insect Infestation),Caterpillars cut the young beetroot seedling at the base or eat into the top of the root. Place a collar (paper cup with bottom out) around seedlings. Handpick at night.
Beetroot,Root-Knot Nematode (Parasitic Infection),Roots develop galls or knots; the beet is deformed and hairy. Plant marigolds as a rotation crop to suppress nematodes. Solarize soil in summer. Use clean soil for pots.
Betel Vine,Bacterial Leaf Spot (Bacterial),"Small, water-soaked spots appear on the leaves, surrounded by a yellow halo. The spots turn black and the leaf may drop. Treatment: This ruins the market value of the leaf. Pluck and destroy infected leaves immediately. Spray Streptocycline (antibiotic) or copper oxychloride solution, but observe a waiting period before harvesting for consumption."
Betel Vine,Wilt / Foot Rot (Fungal),The plant suddenly wilts. The stem turns black near the soil level. Treatment: This is the most destructive disease. Drench the soil with Bordeaux mixture (1%) or Trichoderma bio-fungicide. Ensure the soil drains perfectly; never let water stand around the vine base.
Betel Vine,Anthracnose (Fungal Infection),"Circular, black spots with light centers appear on the leaves. The centers may fall out, leaving ""shot holes."" Spray Bordeaux mixture (0.5%) after plucking harvestable leaves. Improve drainage in the garden. Collect and burn fallen leaves."
Betel Vine,Powdery Mildew (Fungal Infection),"Patches of white powder on the leaves make them brittle and unsuitable for chewing. Dust sulfur powder or spray wettable sulfur. Since leaves are eaten raw, ensure a strict safety waiting period (15-20 days) or use a baking soda solution (safe) instead of chemicals."
Betel Vine,Phytophthora Foot Rot (Fungal Infection),"The vine wilts suddenly, and leaves turn yellow and droop. The stem near the soil turns black. This is the most destructive disease. Drench the soil with Bordeaux mixture or Copper Oxychloride. Apply Trichoderma enriched neem cake to the soil yearly."
Betel Vine,Scale Insects (Insect Infestation),"Small, hard, immobile bumps on the stem and leaves suck sap, causing leaves to yellow. Scrape them off gently. Prune heavily infested vines. Spray Neem oil. Ants farm these scales, so control ant populations with sticky barriers on the stem."
Betel Vine,Mealybugs (Insect Infestation),"Cottony white masses hide under the leaves, sucking sap and leaving sticky honeydew. Spray a strong jet of water to wash them off. Use insecticidal soap or Neem oil spray. Release ladybugs into the garden."
Betel Vine,Red Spider Mites (Arachnid Infestation),Leaves develop reddish/yellow speckles and look dusty. Fine webbing may be visible. Mites thrive in heat. Mist the vines frequently to increase humidity. Spray wettable sulfur or a garlic-chili repellent.
Betel Vine ,Bacterial Leaf Blight (Bacterial Infection),"Water-soaked spots (often V-shaped) appear on the leaves, surrounded by yellow halos. The leaves turn black and rot. Remove infected leaves immediately. Spray a solution of Streptocycline (an antibiotic) and Copper Oxychloride. Avoid overhead watering. Sanitize your plucking tools."
Bimbli,Dark Blotch (Fungal),"Black, sooty spots appear on the fruits and leaves. The skin becomes rough and cracks. Treatment: This happens in high humidity. Prune the tree to ensure sunlight hits the inner branches. Remove infected fruits. A copper-based organic fungicide spray can protect the harvest during the monsoon."
Bimbli,Stem Borer (Insect Larvae),You may see sawdust-like powder at the base of the tree or on the trunk. A grub is tunneling inside. Treatment: Locate the hole on the trunk. Insert a stiff wire to kill the larva inside. Seal the hole with a paste of wet clay and neem oil. Keep the tree base clean of debris.
